run_id,load,bosd:ari,clustream:ari,dbstream:ari,emc:ari,emc:ari_s,epstm_icp:ari,epstm_tcp:ari,hmm:ari
OK→07,0,0.63,0.01,0.00,0.98,1.00,0.73,1.00,0.00
OK→14,0,0.67,0.02,0.00,0.98,1.00,0.73,1.00,0.00
OK→21,0,1.00,0.02,0.00,0.95,0.98,0.97,1.00,0.00
OK→28,0,1.00,0.04,0.59,0.88,0.90,0.97,1.00,0.00
OK→07→14,0,0.30,0.01,0.00,0.94,0.96,0.96,1.00,0.10
OK→14→21,0,0.69,0.01,0.00,0.97,0.98,0.96,1.00,0.21
OK→21→28,0,0.61,0.01,0.31,0.80,0.81,0.96,1.00,0.39
OK→07,1,0.86,0.00,0.00,0.98,1.00,0.73,1.00,0.00
OK→14,1,0.00,0.32,0.00,0.98,1.00,0.73,1.00,0.00
OK→21,1,0.08,0.00,0.00,0.98,1.00,0.73,1.00,0.00
OK→28,1,0.96,0.00,0.63,0.83,0.84,0.73,1.00,0.00
OK→07→14,1,0.33,0.00,0.00,0.88,0.89,0.96,1.00,0.12
OK→14→21,1,0.07,0.30,0.00,0.90,0.91,0.96,1.00,0.17
OK→21→28,1,0.43,0.00,0.02,0.87,0.89,0.96,1.00,0.37
OK→07,2,0.80,0.04,0.00,0.98,1.00,0.73,1.00,0.00
OK→14,2,0.35,0.01,0.00,0.93,0.95,0.73,1.00,0.00
OK→21,2,0.99,0.01,0.01,0.98,1.00,0.97,1.00,0.00
OK→28,2,0.92,0.14,0.07,0.84,0.86,0.97,1.00,0.00
OK→07→14,2,0.40,0.02,0.00,0.97,0.98,0.96,1.00,0.10
OK→14→21,2,0.49,0.01,0.00,0.92,0.93,0.96,1.00,0.19
OK→21→28,2,0.50,0.02,0.26,0.90,0.91,0.96,1.00,0.38
OK→07,3,0.76,0.00,0.00,0.93,0.95,0.73,1.00,0.00
OK→14,3,0.00,0.00,0.00,0.93,0.95,0.73,1.00,0.00
OK→21,3,0.75,0.00,0.00,0.93,0.95,0.97,1.00,0.00
OK→28,3,1.00,0.53,0.05,0.84,0.86,0.73,1.00,0.00
OK→07→14,3,0.37,0.00,0.00,0.94,0.96,0.96,1.00,0.10
OK→14→21,3,0.34,0.23,0.00,0.92,0.93,0.96,1.00,0.18
OK→21→28,3,0.58,0.00,0.02,0.78,0.80,0.96,1.00,0.38
Mean,,0.57,0.06,0.07,0.92,0.94,0.87,1.00,0.10
Std. Dev.,,0.31,0.13,0.17,0.06,0.06,0.11,0.00,0.13
