subject,bosd:ari,clustream:ari,dbstream:ari,emc:ari,emc:ari_s,epstm_icp:ari,epstm_tcp:ari,hmm:ari
2,$0.18\pm0.07$,$0.40\pm0.20$,$0.17\pm0.09$,$0.85\pm0.08$,$0.91\pm0.07$,$0.59\pm0.18$,$1.00\pm0.00$,$0.43\pm0.15$
3,$-0.00\pm0.00$,$0.37\pm0.18$,$0.14\pm0.09$,$0.81\pm0.14$,$0.85\pm0.14$,$0.61\pm0.16$,$0.95\pm0.08$,$0.45\pm0.19$
4,$0.01\pm0.01$,$0.40\pm0.21$,$0.14\pm0.09$,$0.80\pm0.11$,$0.86\pm0.11$,$0.32\pm0.15$,$0.94\pm0.09$,$0.43\pm0.16$
5,$0.00\pm0.00$,$0.27\pm0.15$,$0.10\pm0.08$,$0.79\pm0.10$,$0.87\pm0.09$,$0.53\pm0.14$,$0.98\pm0.06$,$0.32\pm0.14$
6,$0.17\pm0.04$,$0.39\pm0.18$,$0.19\pm0.10$,$0.71\pm0.14$,$0.75\pm0.15$,$0.59\pm0.18$,$0.95\pm0.07$,$0.38\pm0.15$
7,$0.11\pm0.09$,$0.29\pm0.17$,$0.20\pm0.12$,$0.76\pm0.07$,$0.82\pm0.07$,$0.33\pm0.18$,$0.95\pm0.05$,$0.45\pm0.17$
8,$0.00\pm0.01$,$0.27\pm0.08$,$0.15\pm0.10$,$0.63\pm0.16$,$0.67\pm0.16$,$0.40\pm0.15$,$0.96\pm0.05$,$0.31\pm0.10$
9,$0.00\pm0.01$,$0.31\pm0.17$,$0.18\pm0.09$,$0.88\pm0.06$,$0.93\pm0.05$,$0.57\pm0.15$,$0.99\pm0.02$,$0.42\pm0.18$
10,$0.24\pm0.03$,$0.38\pm0.17$,$0.20\pm0.10$,$0.68\pm0.14$,$0.74\pm0.16$,$0.53\pm0.20$,$0.98\pm0.06$,$0.35\pm0.14$
11,$0.22\pm0.03$,$0.22\pm0.12$,$0.17\pm0.09$,$0.45\pm0.15$,$0.50\pm0.16$,$0.59\pm0.17$,$0.95\pm0.05$,$0.34\pm0.15$
12,$0.32\pm0.07$,$0.31\pm0.17$,$0.18\pm0.10$,$0.70\pm0.15$,$0.73\pm0.17$,$0.56\pm0.16$,$0.81\pm0.15$,$0.34\pm0.17$
13,$0.31\pm0.03$,$0.35\pm0.17$,$0.19\pm0.10$,$0.71\pm0.13$,$0.80\pm0.14$,$0.56\pm0.18$,$0.93\pm0.11$,$0.36\pm0.16$
14,$0.01\pm0.01$,$0.34\pm0.18$,$0.22\pm0.13$,$0.85\pm0.05$,$0.90\pm0.05$,$0.39\pm0.21$,$1.00\pm0.00$,$0.43\pm0.18$
15,$0.07\pm0.03$,$0.34\pm0.17$,$0.17\pm0.10$,$0.65\pm0.15$,$0.71\pm0.16$,$0.62\pm0.17$,$0.98\pm0.03$,$0.31\pm0.13$
Overall,$0.12\pm0.03$,$0.33\pm0.17$,$0.17\pm0.10$,$0.73\pm0.16$,$0.79\pm0.17$,$0.51\pm0.19$,$0.95\pm0.08$,$0.38\pm0.16$
