run_id,emc:ari
run_60,0.930
run_65,0.923
run_18,0.922
run_108,0.920
run_52,0.918
run_39,0.915
run_35,0.914
run_38,0.913
run_16,0.912
run_29,0.911
run_59,0.911
run_75,0.910
run_82,0.910
run_31,0.909
run_42,0.909
run_69,0.909
run_44,0.909
run_50,0.907
run_85,0.906
run_67,0.903
run_61,0.903
run_64,0.902
run_20,0.902
run_96,0.901
run_45,0.898
run_77,0.898
run_43,0.897
run_84,0.896
run_36,0.896
run_78,0.894
run_98,0.892
run_12,0.892
run_30,0.891
run_21,0.890
run_26,0.889
run_104,0.888
run_87,0.888
run_48,0.888
run_95,0.888
run_88,0.886
run_25,0.883
run_34,0.882
run_76,0.880
run_89,0.879
run_46,0.878
run_58,0.877
run_32,0.876
run_66,0.872
run_94,0.871
run_106,0.871
run_73,0.869
run_99,0.866
run_83,0.866
run_49,0.864
run_13,0.863
run_55,0.859
run_74,0.857
run_100,0.857
run_80,0.855
run_86,0.854
run_68,0.853
run_70,0.850
run_23,0.847
run_22,0.846
run_93,0.846
run_28,0.844
run_92,0.843
run_102,0.839
run_27,0.839
run_79,0.835
run_14,0.833
run_53,0.830
run_62,0.828
run_51,0.827
run_17,0.825
run_63,0.824
run_15,0.824
run_72,0.822
run_71,0.819
run_97,0.818
run_107,0.817
run_105,0.816
run_10,0.816
run_101,0.802
run_41,0.801
run_33,0.789
run_56,0.788
run_103,0.781
run_57,0.775
run_24,0.775
run_54,0.763
run_40,0.757
run_37,0.754
run_90,0.745
run_11,0.745
run_109,0.742
run_91,0.739
run_81,0.737
run_47,0.714
run_19,0.699
