run,order,time
0,1,1.163935661315918e-05
0,2,1.4737963676452637e-05
0,3,1.6390323638916014e-05
0,4,1.9020497798919677e-05
0,5,2.2453784942626952e-05
0,6,2.6031553745269777e-05
0,7,2.836710214614868e-05
0,8,3.073382377624512e-05
0,9,3.131729364395142e-05
0,10,3.232288360595703e-05
0,11,3.260582685470581e-05
0,12,3.2716333866119385e-05
0,13,3.260529041290283e-05
0,14,3.32878828048706e-05
0,15,3.415495157241821e-05
0,16,3.3806443214416504e-05
0,17,3.410309553146362e-05
0,18,3.4474968910217285e-05
0,19,3.419804573059082e-05
0,20,3.53127121925354e-05
0,21,3.4907400608062744e-05
0,22,3.474551439285278e-05
0,23,3.5326182842254636e-05
0,24,3.5469114780426024e-05
0,25,3.520238399505615e-05
0,26,3.6170780658721925e-05
0,27,3.656983375549316e-05
0,28,3.5563647747039794e-05
0,29,3.610134124755859e-05
0,30,3.629779815673828e-05
0,31,3.637838363647461e-05
0,32,3.66443395614624e-05
0,33,6.213027238845825e-05
0,34,3.744691610336304e-05
0,35,3.790253400802612e-05
0,36,3.775209188461304e-05
0,37,3.763675689697266e-05
0,38,3.781408071517944e-05
0,39,3.812325000762939e-05
0,40,3.8589596748352053e-05
0,41,3.890365362167359e-05
0,42,3.949868679046631e-05
0,43,3.933483362197876e-05
0,44,3.899013996124267e-05
0,45,3.910386562347412e-05
0,46,3.9895951747894285e-05
0,47,4.022914171218872e-05
0,48,3.9835870265960696e-05
0,49,4.0104806423187255e-05
0,50,4.051035642623901e-05
1,1,1.1654317378997802e-05
1,2,1.4322459697723388e-05
1,3,1.652050018310547e-05
1,4,1.897585391998291e-05
1,5,2.2132575511932372e-05
1,6,2.5481820106506348e-05
1,7,2.856332063674927e-05
1,8,3.056246042251587e-05
1,9,3.1272053718566895e-05
1,10,3.2392263412475586e-05
1,11,3.2526552677154543e-05
1,12,3.264003992080689e-05
1,13,3.317844867706299e-05
1,14,3.334170579910278e-05
1,15,3.304702043533325e-05
1,16,3.360456228256226e-05
1,17,3.410071134567261e-05
1,18,5.858016014099121e-05
1,19,3.4647643566131595e-05
1,20,3.3939361572265626e-05
1,21,3.473544120788574e-05
1,22,3.438001871109009e-05
1,23,3.530442714691162e-05
1,24,3.4727931022644045e-05
1,25,3.56256365776062e-05
1,26,3.602898120880127e-05
1,27,3.640884160995484e-05
1,28,3.607815504074097e-05
1,29,3.644108772277832e-05
1,30,3.641277551651001e-05
1,31,3.689801692962647e-05
1,32,3.7026166915893556e-05
1,33,3.681373596191406e-05
1,34,3.729051351547241e-05
1,35,3.789246082305908e-05
1,36,3.7311673164367675e-05
1,37,3.8089632987976075e-05
1,38,3.835833072662354e-05
1,39,3.807693719863892e-05
1,40,3.807055950164795e-05
1,41,3.8469672203063964e-05
1,42,3.928786516189575e-05
1,43,3.897154331207275e-05
1,44,6.295740604400635e-05
1,45,3.8967013359069826e-05
1,46,3.957688808441162e-05
1,47,3.9718329906463626e-05
1,48,3.956210613250732e-05
1,49,3.996181488037109e-05
1,50,4.074680805206299e-05
2,1,1.0436177253723145e-05
2,2,1.3288259506225586e-05
2,3,1.6734182834625243e-05
2,4,1.9166707992553712e-05
2,5,2.2525429725646972e-05
2,6,2.5888681411743163e-05
2,7,2.8109669685363768e-05
2,8,3.038299083709717e-05
2,9,3.1072735786437986e-05
2,10,3.218698501586914e-05
2,11,3.292357921600342e-05
2,12,3.253209590911865e-05
2,13,3.324317932128906e-05
2,14,3.336024284362793e-05
2,15,3.360259532928467e-05
2,16,3.362417221069336e-05
2,17,3.4000396728515626e-05
2,18,3.442108631134033e-05
2,19,3.418141603469849e-05
2,20,3.4253835678100584e-05
2,21,3.502422571182251e-05
2,22,3.5058438777923584e-05
2,23,3.535836935043335e-05
2,24,3.540319204330444e-05
2,25,3.56600284576416e-05
2,26,3.620761632919311e-05
2,27,3.633570671081543e-05
2,28,5.965179204940796e-05
2,29,3.6195218563079834e-05
2,30,3.644311428070068e-05
2,31,3.668320178985596e-05
2,32,3.679883480072021e-05
2,33,3.670883178710937e-05
2,34,3.6629319190979005e-05
2,35,3.701835870742798e-05
2,36,3.768569231033325e-05
2,37,3.809303045272827e-05
2,38,3.769558668136597e-05
2,39,3.797847032546997e-05
2,40,3.864461183547974e-05
2,41,3.890049457550049e-05
2,42,3.908449411392212e-05
2,43,3.94698977470398e-05
2,44,3.876376152038574e-05
2,45,3.916293382644653e-05
2,46,3.966856002807617e-05
2,47,3.960669040679932e-05
2,48,4.026895761489868e-05
2,49,4.048675298690796e-05
2,50,4.035389423370361e-05
3,1,1.1256396770477295e-05
3,2,1.3211250305175781e-05
3,3,1.6093075275421143e-05
3,4,1.8233895301818847e-05
3,5,2.1143019199371338e-05
3,6,2.400553226470947e-05
3,7,2.6669442653656007e-05
3,8,2.8171181678771974e-05
3,9,2.9881179332733153e-05
