run,Number of States,time
0,4,1.1536836624145509e-05
0,5,1.167464256286621e-05
0,6,1.1607050895690918e-05
0,7,1.1599063873291015e-05
0,8,1.15281343460083e-05
0,9,1.1513113975524902e-05
0,10,1.1536121368408204e-05
0,11,1.1583685874938966e-05
0,12,1.1597633361816406e-05
0,13,1.1568546295166015e-05
0,14,1.151818037033081e-05
0,15,1.1532783508300781e-05
0,16,1.1646568775177001e-05
0,17,1.1617541313171387e-05
0,18,1.165693998336792e-05
0,19,1.177293062210083e-05
0,20,1.1778712272644043e-05
0,21,1.1703431606292725e-05
0,22,1.1768758296966553e-05
0,23,1.1824131011962891e-05
0,24,1.1719763278961182e-05
0,25,1.17340087890625e-05
0,26,1.1712014675140381e-05
0,27,1.1749625205993653e-05
0,28,1.1825025081634521e-05
0,29,1.1834621429443359e-05
0,30,1.1706113815307616e-05
0,31,1.176375150680542e-05
0,32,1.1798858642578125e-05
0,33,1.1751294136047363e-05
0,34,1.1772453784942626e-05
0,35,1.1756479740142823e-05
0,36,1.1724114418029786e-05
0,37,1.1816561222076416e-05
0,38,1.172739267349243e-05
0,39,1.1730015277862549e-05
0,40,1.1787354946136474e-05
0,41,1.1707425117492676e-05
0,42,1.1651933193206787e-05
0,43,1.1711180210113525e-05
0,44,1.17223858833313e-05
0,45,1.1696994304656982e-05
0,46,1.1728763580322266e-05
0,47,1.1768996715545654e-05
0,48,1.1777877807617187e-05
0,49,1.1731147766113281e-05
0,50,1.1783957481384277e-05
1,4,1.157081127166748e-05
1,5,1.1587142944335938e-05
1,6,1.1612892150878906e-05
1,7,1.1642158031463623e-05
1,8,1.1584997177124024e-05
1,9,1.1570632457733154e-05
1,10,1.1602818965911866e-05
1,11,1.1533141136169434e-05
1,12,1.1684715747833252e-05
1,13,1.1633157730102539e-05
1,14,1.1580348014831543e-05
1,15,1.1533260345458985e-05
1,16,1.1671185493469238e-05
1,17,1.1736273765563964e-05
1,18,1.1579334735870362e-05
1,19,1.1609256267547607e-05
1,20,1.160222291946411e-05
1,21,1.1593103408813477e-05
1,22,1.1606752872467042e-05
1,23,1.1588215827941895e-05
1,24,1.1551737785339356e-05
1,25,1.1570632457733154e-05
1,26,1.1565983295440673e-05
1,27,1.1481881141662597e-05
1,28,1.1625409126281738e-05
1,29,1.1555135250091553e-05
1,30,1.15317702293396e-05
1,31,1.1579394340515137e-05
1,32,1.1648774147033691e-05
1,33,1.1619627475738525e-05
1,34,1.1662125587463378e-05
1,35,1.1614084243774414e-05
1,36,1.161724328994751e-05
1,37,1.1738121509552002e-05
1,38,1.1719942092895507e-05
1,39,1.1653661727905273e-05
